Time,G8,G9,GA,GB,B1,B2,B3,lat,lon,gpsacc,imei,time
0,-92,-99,-96,-94,-91,0,0,10.8808817,-1.0877532,8,8.62E+14,735926.4828
0,-91,-99,-93,-93,-89,0,0,10.8808788,-1.0877583,96,8.62E+14,735926.483
0,-88,-95,-100,-93,-90,0,0,10.8808786,-1.087754,9,8.62E+14,735926.4831
0,-102,-93,-94,-93,-95,0,0,10.8808762,-1.0877554,8,8.62E+14,735926.4832
0,-87,-98,-95,-94,-96,0,0,10.8808766,-1.0877579,8,8.62E+14,735926.4833
0,-92,-95,-94,-93,-94,0,0,10.8808785,-1.0877581,6,8.62E+14,735926.4834
0,-91,-97,-94,-102,-99,0,0,10.8808796,-1.087757,9,8.62E+14,735926.4835
0,-100,-101,-94,-93,-95,0,0,10.8808788,-1.0877509,12,8.62E+14,735926.4837
0,-90,-94,-95,-93,-94,0,0,10.8808766,-1.0877521,7,8.62E+14,735926.4838
0,-89,-96,-94,-93,-96,0,0,10.8808779,-1.0877495,96,8.62E+14,735926.4839
0,-102,-95,-100,-93,-98,0,0,10.8808772,-1.0877466,19,8.62E+14,735926.484
0,-100,-101,-95,-92,-90,0,0,10.8808757,-1.0877438,12,8.62E+14,735926.4841
0,-88,-95,-100,-92,-95,0,0,10.8808757,-1.0877438,96,8.62E+14,735926.4842
0,-102,-94,-101,-93,-95,0,0,10.8808732,-1.0877449,18,8.62E+14,735926.4844
0,-91,-94,-95,-93,-95,0,0,10.8808734,-1.0877447,96,8.62E+14,735926.4845
0,-88,-94,-96,-91,-95,0,0,10.8808733,-1.0877443,9,8.62E+14,735926.4846
0,-89,-102,-95,-92,-90,0,0,10.8808691,-1.0877459,6,8.62E+14,735926.4847
0,-88,-94,-95,-93,-99,0,0,10.8808691,-1.0877459,6,8.62E+14,735926.4848
0,-91,-100,-100,-92,-99,0,0,10.8808662,-1.0877469,9,8.62E+14,735926.4849
0,-92,-95,-92,-92,-90,0,0,10.8808685,-1.087746,8,8.62E+14,735926.4851
0,-92,-97,-101,-94,-93,0,0,10.8808684,-1.0877481,11,8.62E+14,735926.4852
